k,cv_accuracy_mean,cv_accuracy_std,test_accuracy
1,0.72873111512259,0.002833163449539677,0.7446828100543228
3,0.7328283607033045,0.0026611655073056793,0.7485498572875425
5,0.7434396504163623,0.005013060452081872,0.754626645796888
7,0.7430023926867589,0.004225574041961863,0.7555473713286069
9,0.7408386686072672,0.005873131442838886,0.7550870085627475
11,0.7393194879027207,0.005951092427623953,0.7524169045207624
13,0.736902578078123,0.00632510874453348,0.7513120338826995
15,0.7338641636819017,0.006462582778424755,0.7483657121811987
17,0.7316083930127357,0.00626645021194613,0.7473529140963079
19,0.7289843485561114,0.006896005759904894,0.7433937943099163
